age,sex,race,educ,state,weight
45-65,Male,White,No college degree,NM,19
45-65,Female,White,College graduate,NM,27
65+,Female,White,College graduate,NM,25
65+,Male,White,College graduate,NM,38
30-44,Male,White,College graduate,NM,51
30-44,Female,White,No college degree,NM,40
65+,Female,White,College graduate,NM,34
45-65,Female,White,College graduate,NM,34
45-65,Female,White,College graduate,NM,19
45-65,Male,White,College graduate,NM,26
45-65,Female,Other,College graduate,NM,19
65+,Male,Hispanic/Latino,College graduate,NM,21
45-65,Male,White,College graduate,NM,14
45-65,Female,White,College graduate,NM,14
30-44,Female,Hispanic/Latino,No college degree,NM,25
45-65,Male,White,College graduate,NM,11
45-65,Female,Asian,College graduate,NM,25
18-29,Male,Asian,No college degree,NM,23
30-44,Male,Hispanic/Latino,College graduate,NM,14
30-44,Female,Hispanic/Latino,No college degree,NM,24
45-65,Male,Hispanic/Latino,College graduate,NM,21
30-44,Male,Hispanic/Latino,No college degree,NM,23
65+,Male,White,College graduate,NM,12
65+,Female,White,College graduate,NM,14
65+,Female,White,No college degree,NM,26
45-65,Female,White,No college degree,NM,6
45-65,Female,Hispanic/Latino,No college degree,NM,12
30-44,Male,White,College graduate,NM,16
30-44,Female,White,College graduate,NM,20
45-65,Male,White,College graduate,NM,17
65+,Male,White,No college degree,NM,7
45-65,Female,White,No college degree,NM,9
18-29,Male,Hispanic/Latino,No college degree,NM,30
18-29,Female,White,College graduate,NM,14
30-44,Male,White,No college degree,NM,14
18-29,Male,White,No college degree,NM,8
45-65,Female,Hispanic/Latino,College graduate,NM,20
30-44,Male,Hispanic/Latino,No college degree,NM,56
30-44,Male,Hispanic/Latino,No college degree,NM,77
18-29,Male,Hispanic/Latino,No college degree,NM,83
18-29,Female,Hispanic/Latino,No college degree,NM,53
45-65,Female,White,College graduate,NM,6
45-65,Female,White,No college degree,NM,16
30-44,Male,Hispanic/Latino,College graduate,NM,13
30-44,Female,Hispanic/Latino,No college degree,NM,13
65+,Female,Hispanic/Latino,College graduate,NM,12
18-29,Male,Hispanic/Latino,No college degree,NM,15
65+,Female,White,College graduate,NM,15
45-65,Female,Other,College graduate,NM,6
18-29,Female,Other,No college degree,NM,15
45-65,Male,Other,College graduate,NM,12
45-65,Female,White,No college degree,NM,13
65+,Female,White,No college degree,NM,4
45-65,Female,Hispanic/Latino,No college degree,NM,11
45-65,Male,Hispanic/Latino,No college degree,NM,21
65+,Female,Hispanic/Latino,No college degree,NM,11
65+,Female,White,No college degree,NM,44
18-29,Female,Hispanic/Latino,No college degree,NM,17
18-29,Female,Hispanic/Latino,No college degree,NM,20
45-65,Male,White,College graduate,NM,16
18-29,Male,Hispanic/Latino,No college degree,NM,26
30-44,Male,White,No college degree,NM,21
30-44,Female,White,No college degree,NM,17
65+,Female,White,College graduate,NM,14
45-65,Male,Hispanic/Latino,College graduate,NM,18
65+,Male,Black,No college degree,NM,21
45-65,Female,Hispanic/Latino,No college degree,NM,2
65+,Male,Hispanic/Latino,No college degree,NM,3
65+,Male,White,College graduate,NM,16
30-44,Female,White,No college degree,NM,21
45-65,Male,White,No college degree,NM,39
30-44,Female,White,College graduate,NM,31
30-44,Male,White,No college degree,NM,19
65+,Male,White,College graduate,NM,27
30-44,Female,White,No college degree,NM,19
65+,Male,White,No college degree,NM,19
65+,Female,White,No college degree,NM,13
45-65,Female,White,College graduate,NM,10
65+,Female,White,No college degree,NM,28
45-65,Male,Hispanic/Latino,No college degree,NM,16
45-65,Female,Hispanic/Latino,No college degree,NM,27
18-29,Male,Hispanic/Latino,No college degree,NM,19
45-65,Male,White,College graduate,NM,13
30-44,Female,White,College graduate,NM,15
30-44,Female,Hispanic/Latino,No college degree,NM,19
30-44,Male,Hispanic/Latino,College graduate,NM,54
45-65,Female,Hispanic/Latino,No college degree,NM,40
18-29,Female,Hispanic/Latino,No college degree,NM,54
30-44,Female,Other,College graduate,NM,19
30-44,Female,White,College graduate,NM,20
18-29,Female,White,College graduate,NM,17
18-29,Female,White,No college degree,NM,19
65+,Male,White,No college degree,NM,14
65+,Female,White,No college degree,NM,23
65+,Male,White,College graduate,NM,17
45-65,Female,White,No college degree,NM,17
45-65,Male,White,No college degree,NM,17
65+,Female,White,No college degree,NM,14
45-65,Male,White,College graduate,NM,19
45-65,Female,White,No college degree,NM,18
18-29,Male,Hispanic/Latino,No college degree,NM,24
30-44,Female,Hispanic/Latino,College graduate,NM,22
30-44,Male,White,College graduate,NM,24
30-44,Male,Hispanic/Latino,No college degree,NM,16
30-44,Female,Hispanic/Latino,No college degree,NM,15
18-29,Female,Hispanic/Latino,No college degree,NM,24
45-65,Male,White,No college degree,NM,12
45-65,Female,White,No college degree,NM,10
30-44,Female,White,College graduate,NM,35
30-44,Male,White,No college degree,NM,27
30-44,Female,White,No college degree,NM,33
18-29,Female,White,No college degree,NM,37
18-29,Female,White,No college degree,NM,53
18-29,Female,White,No college degree,NM,44
45-65,Male,White,College graduate,NM,40
45-65,Male,White,No college degree,NM,44
45-65,Female,Hispanic/Latino,No college degree,NM,51
45-65,Male,White,College graduate,NM,14
45-65,Female,White,College graduate,NM,12
18-29,Female,White,College graduate,NM,14
45-65,Male,Hispanic/Latino,College graduate,NM,15
45-65,Female,Hispanic/Latino,No college degree,NM,14
18-29,Male,Hispanic/Latino,No college degree,NM,12
30-44,Male,White,College graduate,NM,18
30-44,Male,Hispanic/Latino,No college degree,NM,6
45-65,Male,White,No college degree,NM,34
18-29,Male,White,No college degree,NM,58
45-65,Male,White,No college degree,NM,20
30-44,Female,White,No college degree,NM,19
30-44,Male,White,No college degree,NM,30
45-65,Female,White,No college degree,NM,18
45-65,Female,Hispanic/Latino,No college degree,NM,13
45-65,Male,Hispanic/Latino,No college degree,NM,14
30-44,Male,Hispanic/Latino,College graduate,NM,14
30-44,Female,Hispanic/Latino,No college degree,NM,14
18-29,Female,Hispanic/Latino,No college degree,NM,15
18-29,Female,Hispanic/Latino,No college degree,NM,15
18-29,Female,Hispanic/Latino,No college degree,NM,79
45-65,Male,Other,No college degree,NM,8
30-44,Female,Other,No college degree,NM,9
65+,Female,Other,College graduate,NM,8
65+,Male,Other,College graduate,NM,16
65+,Female,White,No college degree,NM,6
65+,Female,White,No college degree,NM,16
45-65,Female,Hispanic/Latino,College graduate,NM,17
45-65,Male,Hispanic/Latino,No college degree,NM,17
65+,Male,White,No college degree,NM,16
45-65,Female,White,No college degree,NM,14
30-44,Female,Hispanic/Latino,No college degree,NM,31
30-44,Male,Hispanic/Latino,No college degree,NM,31
45-65,Male,Hispanic/Latino,College graduate,NM,6
65+,Male,Hispanic/Latino,College graduate,NM,15
