age,sex,race,educ,state,weight
18-29,Male,White,No college degree,ID,14
30-44,Female,White,No college degree,ID,20
18-29,Female,Hispanic/Latino,No college degree,ID,44
45-65,Male,White,No college degree,ID,17
45-65,Male,Hispanic/Latino,No college degree,ID,1
18-29,Female,Other,No college degree,ID,2
65+,Male,White,College graduate,ID,26
18-29,Female,White,No college degree,ID,6
18-29,Female,White,College graduate,ID,32
65+,Female,White,No college degree,ID,21
65+,Female,White,No college degree,ID,3
65+,Male,White,No college degree,ID,37
65+,Female,White,No college degree,ID,7
45-65,Male,White,No college degree,ID,12
18-29,Female,Hispanic/Latino,No college degree,ID,55
65+,Female,White,No college degree,ID,5
45-65,Male,White,No college degree,ID,6
18-29,Female,White,No college degree,ID,30
30-44,Male,White,No college degree,ID,2
65+,Female,White,No college degree,ID,8
18-29,Female,Other,No college degree,ID,27
65+,Female,White,No college degree,ID,9
18-29,Male,White,No college degree,ID,32
45-65,Male,White,College graduate,ID,11
65+,Female,White,No college degree,ID,4
18-29,Female,White,No college degree,ID,20
18-29,Female,White,No college degree,ID,8
45-65,Male,Hispanic/Latino,No college degree,ID,4
30-44,Male,White,No college degree,ID,6
18-29,Male,White,No college degree,ID,28
18-29,Male,White,No college degree,ID,7
65+,Female,White,No college degree,ID,6
30-44,Male,White,No college degree,ID,18
18-29,Male,White,No college degree,ID,8
30-44,Male,Hispanic/Latino,No college degree,ID,15
45-65,Female,White,No college degree,ID,22
18-29,Female,White,College graduate,ID,32
45-65,Male,White,No college degree,ID,5
18-29,Male,White,No college degree,ID,9
65+,Female,White,No college degree,ID,2
18-29,Female,White,No college degree,ID,27
45-65,Male,White,No college degree,ID,8
45-65,Male,White,No college degree,ID,4
18-29,Male,Hispanic/Latino,No college degree,ID,4
65+,Female,White,No college degree,ID,34
30-44,Male,White,No college degree,ID,16
65+,Female,Hispanic/Latino,No college degree,ID,9
30-44,Male,White,College graduate,ID,8
18-29,Male,Black,No college degree,ID,17
18-29,Female,White,No college degree,ID,4
18-29,Female,White,No college degree,ID,22
18-29,Female,Black,No college degree,ID,52
65+,Female,White,No college degree,ID,3
18-29,Male,Hispanic/Latino,No college degree,ID,15
30-44,Male,White,No college degree,ID,17
30-44,Female,White,No college degree,ID,15
18-29,Male,Hispanic/Latino,No college degree,ID,6
18-29,Male,White,No college degree,ID,8
65+,Male,White,No college degree,ID,7
65+,Male,White,No college degree,ID,17
18-29,Female,White,No college degree,ID,57
45-65,Male,White,No college degree,ID,8
65+,Female,White,College graduate,ID,6
18-29,Female,White,No college degree,ID,9
18-29,Male,White,No college degree,ID,10
65+,Female,White,No college degree,ID,34
30-44,Male,Hispanic/Latino,No college degree,ID,17
65+,Female,White,No college degree,ID,38
65+,Male,White,No college degree,ID,34
65+,Female,White,No college degree,ID,4
65+,Female,White,No college degree,ID,49
18-29,Male,White,No college degree,ID,42
65+,Female,White,College graduate,ID,1
65+,Female,White,College graduate,ID,5
30-44,Male,Other,No college degree,ID,18
18-29,Female,Hispanic/Latino,No college degree,ID,13
65+,Male,White,No college degree,ID,4
18-29,Male,Hispanic/Latino,No college degree,ID,17
18-29,Female,White,No college degree,ID,15
30-44,Male,White,College graduate,ID,27
18-29,Female,White,No college degree,ID,9
18-29,Male,White,No college degree,ID,12
45-65,Male,White,No college degree,ID,21
65+,Male,White,No college degree,ID,6
65+,Male,White,No college degree,ID,3
30-44,Female,White,No college degree,ID,1
18-29,Male,White,No college degree,ID,19
18-29,Male,White,No college degree,ID,23
30-44,Male,White,College graduate,ID,15
18-29,Female,White,No college degree,ID,35
30-44,Male,Other,No college degree,ID,73
45-65,Male,White,No college degree,ID,39
65+,Female,White,No college degree,ID,6
45-65,Male,White,No college degree,ID,4
30-44,Male,White,No college degree,ID,16
65+,Female,White,No college degree,ID,16
18-29,Male,White,No college degree,ID,15
65+,Female,White,No college degree,ID,3
65+,Male,White,No college degree,ID,4
18-29,Male,Other,No college degree,ID,17
30-44,Male,White,No college degree,ID,15
30-44,Male,White,No college degree,ID,18
18-29,Male,Other,No college degree,ID,57
45-65,Male,White,No college degree,ID,7
30-44,Female,White,No college degree,ID,44
65+,Female,White,No college degree,ID,31
18-29,Female,Hispanic/Latino,No college degree,ID,9
30-44,Male,White,No college degree,ID,17
30-44,Female,White,No college degree,ID,2
18-29,Female,White,No college degree,ID,17
18-29,Male,White,No college degree,ID,3
45-65,Male,White,No college degree,ID,17
65+,Female,White,No college degree,ID,4
18-29,Female,White,No college degree,ID,15
30-44,Male,White,No college degree,ID,16
65+,Female,White,No college degree,ID,8
30-44,Male,White,No college degree,ID,23
30-44,Female,White,College graduate,ID,23
30-44,Male,White,No college degree,ID,18
18-29,Female,White,No college degree,ID,36
45-65,Female,White,No college degree,ID,1
18-29,Male,White,No college degree,ID,43
30-44,Male,Hispanic/Latino,No college degree,ID,15
65+,Female,White,No college degree,ID,17
45-65,Male,Other,No college degree,ID,20
65+,Female,White,No college degree,ID,3
30-44,Male,White,No college degree,ID,9
18-29,Female,White,No college degree,ID,20
30-44,Male,White,No college degree,ID,15
30-44,Male,White,No college degree,ID,5
