age,sex,race,educ,state,weight
45-65,Male,White,College graduate,RI,33
30-44,Male,White,No college degree,RI,22
30-44,Female,White,No college degree,RI,23
45-65,Male,White,College graduate,RI,15
45-65,Female,White,No college degree,RI,15
18-29,Female,White,No college degree,RI,17
45-65,Male,White,No college degree,RI,22
30-44,Female,White,No college degree,RI,14
45-65,Male,White,College graduate,RI,14
18-29,Female,White,No college degree,RI,12
30-44,Male,Black,College graduate,RI,18
65+,Female,White,College graduate,RI,21
45-65,Female,White,No college degree,RI,12
45-65,Male,White,College graduate,RI,11
30-44,Female,White,No college degree,RI,26
30-44,Male,White,No college degree,RI,25
45-65,Female,White,College graduate,RI,10
18-29,Male,White,No college degree,RI,10
30-44,Female,White,College graduate,RI,10
65+,Male,White,No college degree,RI,26
45-65,Female,White,No college degree,RI,28
45-65,Male,White,College graduate,RI,13
45-65,Female,White,No college degree,RI,11
18-29,Female,White,No college degree,RI,17
18-29,Female,White,No college degree,RI,12
18-29,Female,White,College graduate,RI,25
65+,Male,White,No college degree,RI,11
45-65,Female,White,No college degree,RI,13
30-44,Female,White,No college degree,RI,13
30-44,Male,White,No college degree,RI,15
30-44,Male,White,No college degree,RI,14
45-65,Female,White,College graduate,RI,18
65+,Male,White,College graduate,RI,20
45-65,Male,White,College graduate,RI,11
30-44,Female,White,No college degree,RI,12
18-29,Female,White,No college degree,RI,10
18-29,Male,Hispanic/Latino,College graduate,RI,16
45-65,Male,Hispanic/Latino,No college degree,RI,23
45-65,Female,Hispanic/Latino,No college degree,RI,20
30-44,Female,Hispanic/Latino,No college degree,RI,20
18-29,Male,White,No college degree,RI,35
65+,Male,White,No college degree,RI,14
65+,Female,White,College graduate,RI,14
45-65,Male,White,No college degree,RI,11
45-65,Female,White,No college degree,RI,11
18-29,Male,White,No college degree,RI,18
18-29,Female,White,No college degree,RI,12
18-29,Male,White,No college degree,RI,12
45-65,Male,White,No college degree,RI,16
45-65,Female,White,No college degree,RI,15
45-65,Male,White,College graduate,RI,18
45-65,Female,White,No college degree,RI,16
18-29,Female,White,College graduate,RI,32
45-65,Male,White,No college degree,RI,12
30-44,Male,White,No college degree,RI,12
45-65,Male,White,College graduate,RI,17
30-44,Female,White,College graduate,RI,16
30-44,Male,White,No college degree,RI,8
30-44,Female,White,No college degree,RI,8
30-44,Male,White,No college degree,RI,11
30-44,Female,White,No college degree,RI,10
45-65,Male,White,College graduate,RI,25
45-65,Female,White,No college degree,RI,27
30-44,Female,Hispanic/Latino,No college degree,RI,36
45-65,Male,White,College graduate,RI,10
45-65,Female,White,College graduate,RI,10
30-44,Female,Other,No college degree,RI,26
30-44,Male,White,College graduate,RI,15
30-44,Male,White,No college degree,RI,16
30-44,Female,White,No college degree,RI,17
18-29,Female,White,No college degree,RI,15
65+,Female,White,College graduate,RI,12
65+,Female,White,No college degree,RI,14
65+,Female,White,College graduate,RI,18
65+,Male,White,College graduate,RI,17
45-65,Female,White,College graduate,RI,28
45-65,Male,White,No college degree,RI,29
45-65,Female,White,College graduate,RI,22
18-29,Female,Hispanic/Latino,No college degree,RI,25
18-29,Male,White,No college degree,RI,18
30-44,Male,White,No college degree,RI,15
30-44,Female,White,No college degree,RI,16
65+,Male,White,No college degree,RI,22
65+,Female,White,No college degree,RI,21
45-65,Male,White,No college degree,RI,12
45-65,Male,White,No college degree,RI,11
45-65,Male,White,College graduate,RI,21
45-65,Female,White,College graduate,RI,21
45-65,Male,White,No college degree,RI,16
18-29,Female,White,No college degree,RI,11
30-44,Male,White,College graduate,RI,19
65+,Male,White,No college degree,RI,12
45-65,Female,White,No college degree,RI,14
45-65,Female,White,No college degree,RI,15
18-29,Male,White,College graduate,RI,12
18-29,Female,White,No college degree,RI,18
30-44,Male,White,No college degree,RI,16
45-65,Female,White,No college degree,RI,15
65+,Male,White,College graduate,RI,20
30-44,Male,White,No college degree,RI,14
30-44,Female,Hispanic/Latino,College graduate,RI,30
65+,Female,White,College graduate,RI,35
65+,Male,White,No college degree,RI,13
65+,Female,White,College graduate,RI,13
30-44,Female,White,No college degree,RI,44
