age,sex,race,educ,state,weight
30-44,Male,White,No college degree,UT,44
30-44,Female,White,No college degree,UT,44
45-65,Female,White,No college degree,UT,13
45-65,Female,White,No college degree,UT,15
45-65,Male,Asian,College graduate,UT,21
45-65,Female,Asian,No college degree,UT,32
30-44,Male,Asian,College graduate,UT,24
30-44,Male,Asian,College graduate,UT,25
18-29,Male,Asian,No college degree,UT,17
45-65,Male,White,No college degree,UT,14
45-65,Female,White,No college degree,UT,15
45-65,Female,White,No college degree,UT,15
18-29,Male,Hispanic/Latino,College graduate,UT,37
18-29,Female,Hispanic/Latino,College graduate,UT,37
30-44,Female,White,College graduate,UT,18
65+,Male,White,No college degree,UT,17
18-29,Female,White,College graduate,UT,21
45-65,Male,White,No college degree,UT,34
45-65,Male,Hispanic/Latino,No college degree,UT,17
45-65,Female,White,College graduate,UT,15
18-29,Female,White,No college degree,UT,17
18-29,Female,White,College graduate,UT,15
18-29,Male,White,College graduate,UT,31
18-29,Female,White,No college degree,UT,24
45-65,Female,White,College graduate,UT,17
45-65,Male,White,No college degree,UT,17
30-44,Female,Asian,No college degree,UT,8
30-44,Male,Asian,No college degree,UT,21
18-29,Female,White,No college degree,UT,24
18-29,Male,White,College graduate,UT,33
30-44,Male,White,No college degree,UT,15
30-44,Female,White,No college degree,UT,15
45-65,Female,White,No college degree,UT,3
45-65,Female,White,No college degree,UT,7
30-44,Female,White,No college degree,UT,18
45-65,Male,White,No college degree,UT,7
45-65,Female,White,No college degree,UT,5
18-29,Male,White,College graduate,UT,9
45-65,Male,White,No college degree,UT,18
45-65,Female,White,No college degree,UT,17
30-44,Male,White,No college degree,UT,25
45-65,Male,White,College graduate,UT,7
45-65,Female,White,College graduate,UT,6
45-65,Female,White,No college degree,UT,15
30-44,Female,White,No college degree,UT,13
45-65,Male,White,College graduate,UT,12
18-29,Female,Asian,No college degree,UT,8
18-29,Male,Asian,No college degree,UT,9
45-65,Male,White,No college degree,UT,5
45-65,Female,White,No college degree,UT,6
45-65,Male,White,No college degree,UT,16
45-65,Female,White,No college degree,UT,17
30-44,Male,White,No college degree,UT,12
30-44,Female,White,No college degree,UT,10
18-29,Female,White,No college degree,UT,11
30-44,Female,White,No college degree,UT,21
30-44,Male,White,No college degree,UT,22
65+,Male,White,College graduate,UT,15
