age,sex,race,educ,state,weight
45-65,Male,White,No college degree,ME,34
18-29,Female,White,No college degree,ME,23
18-29,Female,White,No college degree,ME,18
18-29,Male,White,No college degree,ME,22
45-65,Male,White,No college degree,ME,6
45-65,Female,White,No college degree,ME,7
18-29,Male,White,No college degree,ME,6
18-29,Female,Other,No college degree,ME,1
45-65,Female,White,No college degree,ME,26
45-65,Male,White,No college degree,ME,24
18-29,Male,White,No college degree,ME,17
18-29,Female,White,No college degree,ME,25
18-29,Female,White,No college degree,ME,3
65+,Female,White,College graduate,ME,44
45-65,Female,White,No college degree,ME,11
45-65,Male,White,No college degree,ME,12
18-29,Male,White,No college degree,ME,15
18-29,Male,White,No college degree,ME,20
65+,Male,White,College graduate,ME,17
65+,Male,White,College graduate,ME,197
45-65,Female,White,College graduate,ME,202
18-29,Male,White,College graduate,ME,170
45-65,Male,White,No college degree,ME,19
45-65,Female,White,No college degree,ME,19
30-44,Female,White,No college degree,ME,4
30-44,Male,White,No college degree,ME,4
30-44,Male,White,No college degree,ME,26
18-29,Female,White,No college degree,ME,12
45-65,Male,White,No college degree,ME,5
18-29,Male,White,College graduate,ME,13
45-65,Female,White,No college degree,ME,25
45-65,Male,White,No college degree,ME,25
30-44,Female,White,College graduate,ME,10
30-44,Male,White,College graduate,ME,14
65+,Female,White,No college degree,ME,18
65+,Male,White,No college degree,ME,15
45-65,Male,White,No college degree,ME,18
45-65,Female,White,No college degree,ME,9
45-65,Male,White,College graduate,ME,31
45-65,Female,White,College graduate,ME,25
30-44,Female,White,No college degree,ME,33
45-65,Male,White,College graduate,ME,32
65+,Female,White,No college degree,ME,4
18-29,Male,White,No college degree,ME,5
65+,Male,White,No college degree,ME,24
45-65,Female,White,No college degree,ME,24
30-44,Female,White,College graduate,ME,44
45-65,Male,White,No college degree,ME,14
45-65,Male,White,College graduate,ME,6
45-65,Female,White,College graduate,ME,9
45-65,Male,White,No college degree,ME,24
45-65,Female,White,College graduate,ME,14
30-44,Female,White,No college degree,ME,6
45-65,Male,Other,No college degree,ME,3
65+,Female,White,No college degree,ME,22
45-65,Female,White,College graduate,ME,13
30-44,Male,White,No college degree,ME,13
65+,Female,White,No college degree,ME,75
65+,Male,White,College graduate,ME,58
45-65,Male,White,No college degree,ME,22
45-65,Female,White,College graduate,ME,33
45-65,Male,White,No college degree,ME,29
45-65,Female,White,No college degree,ME,37
45-65,Female,White,No college degree,ME,30
45-65,Male,White,No college degree,ME,94
30-44,Female,White,No college degree,ME,149
65+,Male,White,No college degree,ME,4
65+,Female,White,No college degree,ME,5
65+,Male,White,College graduate,ME,6
65+,Female,White,No college degree,ME,6
65+,Female,White,No college degree,ME,3
65+,Male,White,College graduate,ME,3
65+,Male,White,No college degree,ME,10
45-65,Male,White,No college degree,ME,22
30-44,Female,White,No college degree,ME,28
30-44,Male,White,No college degree,ME,21
45-65,Female,White,College graduate,ME,9
