age,sex,race,educ,state,weight
18-29,Female,White,College graduate,MT,6
30-44,Female,White,No college degree,MT,9
45-65,Female,White,No college degree,MT,22
65+,Female,White,No college degree,MT,20
65+,Male,White,No college degree,MT,20
65+,Female,White,No college degree,MT,1
45-65,Male,Other,No college degree,MT,13
18-29,Male,Other,No college degree,MT,69
45-65,Male,White,No college degree,MT,9
45-65,Female,White,No college degree,MT,11
18-29,Male,White,No college degree,MT,17
18-29,Female,White,No college degree,MT,10
18-29,Female,White,No college degree,MT,39
18-29,Female,White,No college degree,MT,29
65+,Female,White,No college degree,MT,16
65+,Male,White,No college degree,MT,19
65+,Male,White,College graduate,MT,25
65+,Female,White,No college degree,MT,34
65+,Male,White,No college degree,MT,16
45-65,Male,Hispanic/Latino,No college degree,MT,6
45-65,Male,White,No college degree,MT,55
45-65,Female,White,No college degree,MT,67
30-44,Male,White,No college degree,MT,29
45-65,Male,White,College graduate,MT,43
18-29,Female,White,No college degree,MT,34
45-65,Male,White,No college degree,MT,43
65+,Female,White,No college degree,MT,12
65+,Female,White,No college degree,MT,4
45-65,Male,White,No college degree,MT,30
30-44,Female,White,No college degree,MT,29
30-44,Male,White,College graduate,MT,12
30-44,Female,Other,College graduate,MT,42
45-65,Male,White,No college degree,MT,32
45-65,Female,White,No college degree,MT,37
30-44,Male,White,No college degree,MT,11
30-44,Male,White,No college degree,MT,7
45-65,Female,White,No college degree,MT,11
18-29,Male,White,No college degree,MT,8
18-29,Male,White,No college degree,MT,87
18-29,Female,Other,No college degree,MT,27
45-65,Female,White,No college degree,MT,12
45-65,Female,White,No college degree,MT,10
45-65,Male,White,No college degree,MT,6
18-29,Female,White,No college degree,MT,32
45-65,Male,White,No college degree,MT,40
45-65,Female,White,No college degree,MT,39
45-65,Male,White,No college degree,MT,5
45-65,Female,White,College graduate,MT,5
45-65,Female,White,No college degree,MT,4
45-65,Male,White,No college degree,MT,4
45-65,Female,White,No college degree,MT,24
65+,Male,White,No college degree,MT,21
65+,Female,White,No college degree,MT,32
